                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20211019
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20211019

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                168815134.19  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              168809065.00
平仓盈亏 Total P/L：                          0.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                     70000.00  客户权益 Client Equity：：          168879065.00
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      6069.19  保证金占用 Margin Occupied：         15993000.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     168879065.00
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：              152886065.00
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     9.47%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002156087|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002156088|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002156089|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002156090|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002156249|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002156250|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002156276|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002157425|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002157426|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002157427|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002157487|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002157516|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002157528|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002157974|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002158194|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161572|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     2|  1067800.00|开                |     40.46|        0.00|                 0.00|000002161573|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161574|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161575|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161624|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161625|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161626|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161627|  普通成交  |
|20211019|能源中心|原油              |     sc2112     |   卖| 套保       |   533.900|     1|   533900.00|开                |     20.23|        0.00|                 0.00|000002161628|  普通成交  |
