                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210825
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210825

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                164259008.67  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：              167205385.60
平仓盈亏 Total P/L：                    2975300.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                    606100.00  客户权益 Client Equity：：          167811485.60
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                     28923.07  保证金占用 Margin Occupied：          6692400.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：     167811485.60
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：              161119085.60
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                     3.99%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                                          成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210825|能源中心|原油              |     sc2109     |   卖|一般        |   427.500|   130| 55575000.00|平昨              |   2629.33| -2158700.00|                 0.00|000002642112|  普通成交  |
|20210825|能源中心|原油              |     sc2109     |   卖| 套保       |   427.500|   500|213750000.00|平昨              |  10112.83|  -166900.00|                 0.00|000002654947|  普通成交  |
|20210825|能源中心|原油              |     sc2109     |   卖| 套保       |   427.500|   235|100462500.00|平昨              |   4753.03|   709800.00|                 0.00|000002657908|  普通成交  |
|20210825|能源中心|原油              |     sc2109     |   卖| 套保       |   427.500|    48| 20520000.00|平昨              |    970.83|   102800.00|                 0.00|000002669329|  普通成交  |
|20210825|能源中心|原油              |     sc2109     |   卖| 套保       |   427.200|   317|135422400.00|平昨              |   6411.53|  2901600.00|                 0.00|000002688069|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   424.800|     1|   424800.00|平昨              |     20.23|    36600.00|                 0.00|000000267294|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   424.800|     2|   849600.00|平昨              |     40.45|    73200.00|                 0.00|000000267295|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   424.800|     4|  1699200.00|平昨              |     80.90|   146400.00|                 0.00|000000267296|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   424.800|     3|  1274400.00|平昨              |     60.68|   109800.00|                 0.00|000000267297|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     2|   850000.00|平昨              |     40.45|    72800.00|                 0.00|000000270070|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     1|   425000.00|平昨              |     20.23|    36400.00|                 0.00|000000270071|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     1|   425000.00|平昨              |     20.23|    36400.00|                 0.00|000000270072|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     1|   425000.00|平昨              |     20.23|    36500.00|                 0.00|000000270073|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     1|   425000.00|平昨              |     20.23|    36500.00|                 0.00|000000270074|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.000|     4|  1700000.00|平昨              |     80.90|   146000.00|                 0.00|000000270105|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272573|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272574|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272575|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272576|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272577|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272614|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     1|   425200.00|平昨              |     20.23|    36200.00|                 0.00|000000272646|  普通成交  |
|20210825|能源中心|原油              |     sc2110     |买   | 套保       |   425.200|     3|  1275600.00|平昨              |     60.68|   108600.00|                 0.00|000000272658|  普通成交  |
