                                        上海东证期货有限公司                                        
                                                                    制表时间 Creation Date：20210706
----------------------------------------------------------------------------------------------------
                       交易结算单(逐笔) Settlement Statement(Trade-for-Trade)                       
客户号 Client ID：  88768668          客户名称 Client Name：PETROCHINA INTERNATIONAL (HONG KONG) CORPORATION LIMITED
日期 Date：20210706

                   资金状况  币种：人民币  Account Summary  Currency：CNY 
----------------------------------------------------------------------------------------------------
期初结存 Balance b/f：                 87194668.60  基础保证金 Initial Margin：                 0.00
出 入 金 Deposit/Withdrawal：                 0.00  期末结存 Balance c/f：               95117295.87
平仓盈亏 Total P/L：                    7930800.00  质 押 金 Pledge Amount：                    0.00
浮动盈亏 Accum. P/L：                     53500.00  客户权益 Client Equity：：           95170795.87
期权执行盈亏 Exercise P/L：                   0.00  货币质押保证金占用 FX Pledge Occ.：         0.00
手 续 费 Commission：                      8172.73  保证金占用 Margin Occupied：         33269500.00
行权手续费 Exercise Fee：                     0.00  交割保证金 Delivery Margin：                0.00
交割手续费 Delivery Fee：                     0.00  多头期权市值 Market value(long)：           0.00
货币质入 New FX Pledge：                      0.00  空头期权市值 Market value(short)：          0.00
货币质出 FX Redemption：                      0.00  市值权益 Market value(equity)：      95170795.87
质押变化金额 Chg in Pledge Amt：              0.00  可用资金 Fund Avail.：               61901295.87
权利金收入 Premium received：                 0.00  风 险 度 Risk Degree：                    34.96%
权利金支出 Premium paid：                     0.00  应追加资金 Margin Call：                    0.00
货币质押变化金额 Chg in FX Pledge:            0.00

                                                              成交记录 Transaction Record 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|成交日期| 交易所 |       品种       |      合约      |买/卖|   投/保    |  成交价  | 手数 |   成交额   |       开平       |  手续费  |  平仓盈亏  |     权利金收支      |  成交序号  |  成交类型  |
|  Date  |Exchange|     Product      |   Instrument   | B/S |    S/H     |   Price  | Lots |  Turnover  |       O/C        |   Fee    | Total  P/L |Premium Received/Paid|  Trans.No. | trade type |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001376731|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001376732|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001376733|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001376734|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     2|   954400.00|开                |     40.46|        0.00|                 0.00|000001376735|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001377224|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001377581|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001377587|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001377736|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001378881|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001378900|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001378901|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001379322|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001379517|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001379531|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001379540|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     3|  1431600.00|开                |     60.69|        0.00|                 0.00|000001381535|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001384353|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001384376|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     5|  2386000.00|开                |    101.14|        0.00|                 0.00|000001384392|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     3|  1431600.00|开                |     60.69|        0.00|                 0.00|000001384457|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     5|  2386000.00|开                |    101.14|        0.00|                 0.00|000001386736|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     1|   477200.00|开                |     20.23|        0.00|                 0.00|000001386743|  普通成交  |
|20210706|能源中心|原油              |     sc2108     |   卖| 套保       |   477.200|     2|   954400.00|开                |     40.46|        0.00|                 0.00|000001386963|  普通成交  |
